name,score
mfcc_24_std,0.0014218868332687637
rms_mean,0.001412343108084785
f0_mean,0.0013678232383587435
percussive_ratio,0.0013465975261036753
spectral_bandwidth_std,0.0012976875842500713
autocorr_mean,0.0012788543508130093
mfcc_7_std,0.0011905612442889963
db_range,0.0011617889925361344
psd_harmonics,0.0011603757919240888
mfcc_30_std,0.0011277007549500638
mfcc_3_std,0.001099573498650076
mfcc_28_std,0.0010491287125267124
mfcc_27_std,0.0010195756769572756
onset_peaks_count,0.0009933995226951919
chroma_10_mean,0.0009784546255350239
f0_range,0.0009421274451468109
tempo,0.0008991481381084908
chroma_4_mean,0.000897708209515764
spectral_rolloff_std,0.0008707626330083382
psd_motor_low,0.000856712122640855
mfcc_29_std,0.0008506426033912539
f0_min,0.0007989172196979675
mfcc_6_std,0.0007785548479687213
mfcc_26_std,0.0007330398946085156
mfcc_37_mean,0.0007036052062568956
mfcc_25_std,0.0006404391326690989
psd_turbo,0.0005767040951074861
crest_factor_db,0.0004964052914733728
mfcc_34_std,0.0004847256665114797
spectral_centroid_std,0.0003978615087538164
f0_max,0.00030863966817921816
zcr_noise_std,0.0002564071566486011
delta2_mfcc_4_mean,0.00024910396379672876
mfcc_2_std,0.00023159773158881787
psd_aero,0.00014820658758558504
mfcc_39_mean,0.0001286013994790888
max_amplitude,0.0
onset_min,0.0
hnr_std,0.0
